index,accepted,forward_basin,reverse_basin,box_x,box_y,box_z
0,True,2,1,10.0,10.0,10.0
1,False,1,1,10.0,10.0,10.0
2,True,2,1,10.0,10.0,10.0
3,False,1,1,10.0,10.0,10.0
4,False,1,1,10.0,10.0,10.0
5,False,1,1,10.0,10.0,10.0
6,True,1,2,10.0,10.0,10.0
7,False,1,1,10.0,10.0,10.0
8,True,1,2,10.0,10.0,10.0
9,True,1,2,10.0,10.0,10.0
10,False,1,1,10.0,10.0,10.0
11,True,1,2,10.0,10.0,10.0
12,True,1,2,10.0,10.0,10.0
13,True,2,1,10.0,10.0,10.0
14,False,1,1,10.0,10.0,10.0
15,True,2,1,10.0,10.0,10.0
16,False,1,1,10.0,10.0,10.0
17,False,1,1,10.0,10.0,10.0
18,True,2,1,10.0,10.0,10.0
19,True,1,2,10.0,10.0,10.0
20,True,1,2,10.0,10.0,10.0
21,False,1,1,10.0,10.0,10.0
22,True,1,2,10.0,10.0,10.0
23,False,1,1,10.0,10.0,10.0
24,False,1,1,10.0,10.0,10.0
25,True,2,1,10.0,10.0,10.0
26,True,1,2,10.0,10.0,10.0
27,False,1,1,10.0,10.0,10.0
28,True,2,1,10.0,10.0,10.0
